n15_external_pusher_fraction,event,temperature_keV,completion_fraction,peak_temperature_keV,seed_energy_mev_per_initial_catalyst,seed_energy_mev_per_completion,deposited_target_nuclear_mev_per_initial_catalyst
0.05,oven-1-c12-to-n13,29.0,0.9851604665834363,320.14345237409157,0.5517309103839432,0.5600416674223249,6.6318661596833826
0.05,oven-1-c12-to-n13,30.0,0.9849115727863819,320.8237645019593,0.5710796614873758,0.57982835948587,6.631382559192753
0.05,oven-1-c12-to-n13,31.0,0.9846668894940038,321.52533643750223,0.5904919704821675,0.5996870381064675,6.6309071397113355
0.05,oven-1-c12-to-n13,32.0,0.9844261958556318,322.23645937476573,0.6099668241249019,0.6196166118829641,6.630439472125175
0.05,oven-1-c12-to-n13,33.0,0.9841892651403712,322.93175245939597,0.6295032832611015,0.6396160835703871,6.629979115898666
0.05,oven-1-c12-to-n13,34.0,0.9839559556955334,323.6331870561982,0.6491004733630288,0.65968448039343,6.629525795794574
0.05,oven-1-c12-to-n13,35.0,0.9837261247302471,324.363691213295,0.6687575765386621,0.6798208970225791,6.629079234374032
0.05,oven-1-c12-to-n13,36.0,0.9834995741361882,325.0793763340784,0.6884738247490041,0.7000245275690063,6.628639046713926
0.05,oven-1-c12-to-n13,37.0,0.9832761669033587,325.78104684816117,0.708248494023572,0.7202945803660288,6.628204966602708
0.05,oven-1-c12-to-n13,38.0,0.9830558080247033,326.51644578937453,0.7280808995049894,0.7406302811718838,6.627776809441675
0.05,oven-1-c12-to-n13,39.0,0.982838342428293,327.2576828299439,0.7479703911856375,0.7610309436418927,6.627354273926256
0.05,oven-1-c12-to-n13,40.0,0.9826236499831493,327.9855480099209,0.7679163502250603,0.7814958964586585,6.62693712664194
0.05,oven-1-c12-to-n13,41.0,0.9824116246342222,328.70069394445136,0.7879181857566084,0.8020244936026396,6.626525161526194
0.05,oven-1-c12-to-n13,42.0,0.9822021698970238,329.45167698452656,0.8079753321083328,0.8226161139442837,6.626118191102794
0.05,oven-1-c12-to-n13,43.0,0.9819951800283979,330.21066673661267,0.828087246375919,0.8432701740470578,6.625716009919798
0.05,oven-1-c12-to-n13,44.0,0.9817905630283074,330.957334678666,0.8482534062960377,0.8639861068531992,6.625318439218823
0.05,oven-1-c12-to-n13,45.0,0.9815882387558181,331.69222690937175,0.8684733083770102,0.8847633601211612,6.624925323286105
0.05,oven-1-c12-to-n13,46.0,0.9813881193529692,332.43445574508064,0.888746466250663,0.9056014116378494,6.624536491413675
0.05,oven-1-c12-to-n13,47.0,0.9811901029559809,333.2175796425892,0.9090724092149618,0.9264997745862359,6.624151745682152
0.05,oven-1-c12-to-n13,48.0,0.9809941406373085,333.9891549100164,0.9294506809417762,0.947457933171704,6.623770991021288
0.05,oven-1-c12-to-n13,49.0,0.9808001688614765,334.7496496611348,0.9498808383278992,0.9684754025180595,6.623394103984245
0.05,oven-1-c12-to-n13,50.0,0.9806081264488857,335.4995041447735,0.9703624504709387,0.989551712145146,6.623020965698973
